"","Raf","Mek","Erk"
"2",47,64,82
"3",47,62,84
"4",50,66,89
"5",44,66,91
"6",42,55,82
"7",44,61,76
"8",41,55,78
"9",43,57,93
"10",42,61,83
"11",42,60,85
"12",52,65,85
"13",41,68,78
"14",34,58,79
"15",43,56,84
"16",45,57,82
"17",44,63,87
"18",46,56,87
"19",49,65,86
"20",45,68,86
"21",44,63,83
"22",40,55,79
"23",48,61,74
"24",43,66,85
"25",45,59,81
"26",38,50,89
"27",44,51,82
"28",53,59,87
"29",44,67,86
"30",42,59,85
"31",40,61,83
"32",37,54,86
"33",45,55,82
"34",47,69,82
"35",41,53,80
"36",51,65,85
"37",56,61,79
"38",47,60,83
"39",37,55,89
"40",39,62,89
"41",42,55,83
"42",40,59,83
"43",37,59,85
"44",46,66,85
"45",43,57,79
"46",48,65,86
"47",46,61,81
"48",46,59,78
"49",47,63,86
"50",44,51,86
"51",46,64,80
"52",47,61,85
"53",45,61,83
"54",50,69,90
"55",46,49,83
"56",49,64,87
"57",48,67,84
"58",46,69,88
"59",48,70,91
"60",49,61,76
"61",45,58,78
"62",38,62,80
"63",37,53,78
"64",49,71,86
"65",40,56,89
"66",42,59,80
"67",45,65,79
"68",48,62,83
"69",43,58,84
"70",41,66,84
"71",48,70,85
"72",45,65,82
"73",49,65,93
"74",45,62,83
"75",54,54,93
"76",42,64,86
"77",41,54,74
"78",42,50,84
"79",50,61,87
"80",38,53,85
"81",37,44,81
"82",38,57,79
"83",33,50,76
"84",48,54,79
"85",42,55,82
"86",36,53,90
"87",47,63,82
"88",44,59,80
"89",45,58,79
"90",50,55,86
"91",49,65,88
"92",46,54,85
"93",41,64,87
"94",36,50,76
"95",36,47,82
"96",42,61,80
"97",39,57,81
"98",39,55,82
"99",40,56,79
"100",40,61,83
"101",35,52,73
